E065,0.6556,0.4679,0.4683
E004,0.7418,0.6288,0.6291
E066,0.7323,0.6374,0.6377
E005,0.7337,0.6196,0.6200
E012,0.6890,0.4350,0.4356
E027,0.7326,0.6393,0.6396
E053,0.7136,0.4994,0.4998
E013,0.6784,0.4541,0.4545
E028,0.7452,0.6256,0.6259
E061,0.7568,0.6449,0.6453
E109,0.6354,0.3587,0.3592
E120,0.7551,0.6370,0.6374
E062,0.7618,0.6457,0.6460
E037,0.7621,0.6384,0.6387
E038,0.7759,0.6560,0.6562
E024,0.6852,0.4828,0.4832
E071,0.6480,0.3677,0.3684
E105,0.6856,0.4939,0.4944
E087,0.6384,0.3506,0.3512
E011,0.6478,0.3415,0.3422
E106,0.6410,0.3736,0.3740
E096,0.6459,0.3588,0.3593
E082,0.7010,0.4915,0.4920
E097,0.6624,0.3761,0.3767
E116,0.9193,0.9418,0.9418
E098,0.6366,0.3715,0.3719
E058,0.7687,0.6560,0.6562
E117,0.9156,0.9317,0.9318
E084,0.6071,0.2585,0.2589
E059,0.8902,0.9184,0.9184
E070,0.6961,0.4800,0.4805
E118,0.7796,0.6717,0.6720
E085,0.6471,0.3343,0.3347
E104,0.6747,0.4759,0.4764
E119,0.7654,0.6519,0.6522
E006,0.7196,0.6101,0.6104
E112,0.6113,0.2670,0.2678
E127,0.7645,0.6548,0.6552
E047,0.7693,0.6472,0.6474
E094,0.6402,0.3738,0.3743
E007,0.6883,0.4637,0.4643
E054,0.7081,0.4841,0.4845
E113,0.6473,0.3587,0.3592
E128,0.7618,0.6546,0.6548
E095,0.7411,0.6335,0.6337
E055,0.7523,0.6244,0.6246
E114,0.7706,0.6629,0.6632
E100,0.8807,0.9086,0.9086
E056,0.8978,0.9239,0.9240
E016,0.6886,0.4739,0.4742
E122,0.7733,0.6690,0.6692
E057,0.8951,0.9217,0.9218
E123,0.9335,0.9491,0.9491
E079,0.6464,0.3747,0.3752
E003,0.6818,0.4813,0.4817
E050,0.7095,0.4456,0.4461
