E065,0.6699,0.4837,0.4842
E004,0.7549,0.6503,0.6506
E066,0.7512,0.6571,0.6574
E005,0.7492,0.6369,0.6372
E012,0.7013,0.4457,0.4462
E027,0.7467,0.6564,0.6566
E053,0.7218,0.5095,0.5100
E013,0.6902,0.4628,0.4633
E028,0.7568,0.6414,0.6416
E061,0.7616,0.6461,0.6463
E109,0.6606,0.3975,0.3979
E120,0.7601,0.6493,0.6495
E062,0.7653,0.6492,0.6495
E037,0.7796,0.6711,0.6713
E038,0.7873,0.6710,0.6714
E024,0.6903,0.4752,0.4756
E071,0.6580,0.3810,0.3815
E105,0.6893,0.4947,0.4951
E087,0.6528,0.3744,0.3748
E011,0.6673,0.3656,0.3661
E106,0.6642,0.4039,0.4045
E096,0.6617,0.3768,0.3774
E082,0.7020,0.5000,0.5003
E097,0.6740,0.3858,0.3865
E116,0.9287,0.9490,0.9490
E098,0.6536,0.3841,0.3846
E058,0.7655,0.6465,0.6467
E117,0.9237,0.9384,0.9384
E084,0.6458,0.2963,0.2969
E059,0.8939,0.9165,0.9165
E070,0.7033,0.4860,0.4865
E118,0.7832,0.6800,0.6803
E085,0.6574,0.3377,0.3382
E104,0.6956,0.4995,0.5000
E119,0.7708,0.6549,0.6551
E006,0.7500,0.6406,0.6410
E112,0.6297,0.2860,0.2866
E127,0.7733,0.6770,0.6771
E047,0.7773,0.6588,0.6590
E094,0.6680,0.4032,0.4036
E007,0.6992,0.4678,0.4684
E054,0.7154,0.4975,0.4979
E113,0.6766,0.3858,0.3864
E128,0.7724,0.6690,0.6692
E095,0.7509,0.6369,0.6373
E055,0.7433,0.6067,0.6070
E114,0.7784,0.6718,0.6720
E100,0.8972,0.9211,0.9212
E056,0.9052,0.9281,0.9281
E016,0.7001,0.4904,0.4908
E122,0.7786,0.6791,0.6795
E057,0.8965,0.9213,0.9213
E123,0.9421,0.9574,0.9575
E079,0.6624,0.3917,0.3922
E003,0.6920,0.4871,0.4874
E050,0.7081,0.4438,0.4443
