E065,0.6630,0.4764,0.4768
E004,0.7486,0.6330,0.6333
E066,0.7418,0.6506,0.6508
E005,0.7458,0.6297,0.6299
E012,0.6911,0.4391,0.4396
E027,0.7427,0.6516,0.6517
E053,0.7173,0.5027,0.5032
E013,0.6880,0.4651,0.4656
E028,0.7527,0.6319,0.6321
E061,0.7638,0.6402,0.6406
E109,0.6406,0.3659,0.3665
E120,0.7611,0.6401,0.6405
E062,0.7630,0.6409,0.6413
E037,0.7643,0.6410,0.6413
E038,0.7746,0.6503,0.6505
E024,0.6891,0.4805,0.4810
E071,0.6496,0.3644,0.3649
E105,0.6892,0.4952,0.4956
E087,0.6386,0.3534,0.3540
E011,0.6468,0.3452,0.3457
E106,0.6406,0.3718,0.3722
E096,0.6435,0.3553,0.3557
E082,0.7058,0.5044,0.5047
E097,0.6618,0.3742,0.3747
E116,0.9228,0.9448,0.9448
E098,0.6497,0.3796,0.3800
E058,0.7725,0.6574,0.6578
E117,0.9234,0.9392,0.9392
E084,0.6078,0.2569,0.2574
E059,0.8933,0.9205,0.9205
E070,0.7001,0.4869,0.4873
E118,0.7796,0.6718,0.6720
E085,0.6465,0.3328,0.3332
E104,0.6862,0.4816,0.4821
E119,0.7683,0.6491,0.6495
E006,0.7402,0.6357,0.6359
E112,0.6119,0.2665,0.2672
E127,0.7677,0.6644,0.6646
E047,0.7695,0.6467,0.6470
E094,0.6504,0.3798,0.3802
E007,0.6969,0.4679,0.4684
E054,0.7111,0.4883,0.4887
E113,0.6596,0.3634,0.3640
E128,0.7645,0.6527,0.6530
E095,0.7496,0.6401,0.6403
E055,0.7550,0.6265,0.6268
E114,0.7735,0.6664,0.6666
E100,0.9056,0.9302,0.9303
E056,0.9052,0.9297,0.9297
E016,0.6949,0.4776,0.4780
E122,0.7703,0.6644,0.6647
E057,0.9055,0.9283,0.9283
E123,0.9329,0.9495,0.9495
E079,0.6527,0.3788,0.3794
E003,0.6835,0.4728,0.4733
E050,0.7109,0.4447,0.4452
